"County.Name","Attributes","Values"
"St. Lawrence","Single.Parent",10
"Saratoga","Single.Parent",7.5
"Schenectady","Single.Parent",10.7
"Schoharie","Single.Parent",7.8
"Schuyler","Single.Parent",8.3
"Seneca","Single.Parent",9.2
"Steuben","Single.Parent",9.9
"Suffolk","Single.Parent",7.2
"Sullivan","Single.Parent",10.7
"Tioga","Single.Parent",8.9
"Tompkins","Single.Parent",7.4
"Ulster","Single.Parent",8.9
"Warren","Single.Parent",8.7
"Washington","Single.Parent",9.4
"Wayne","Single.Parent",9.7
"Westchester","Single.Parent",8
"Wyoming","Single.Parent",8.4
"Yates","Single.Parent",8.6
"Albany","Under.Eighteen",19.9
"Allegany","Under.Eighteen",21.6
"Bronx","Under.Eighteen",26.6
"Broome","Under.Eighteen",20.2
"Cattaraugus","Under.Eighteen",23.4
"Cayuga","Under.Eighteen",21.6
"Chautauqua","Under.Eighteen",21.8
"Chemung","Under.Eighteen",22.4
"Chenango","Under.Eighteen",22.7
"Clinton","Under.Eighteen",19.3
"Columbia","Under.Eighteen",20.3
"Cortland","Under.Eighteen",21.1
"Delaware","Under.Eighteen",19.6
"Dutchess","Under.Eighteen",22.2
"Erie","Under.Eighteen",21.6
"Essex","Under.Eighteen",19.3
"Franklin","Under.Eighteen",20.8
"Fulton","Under.Eighteen",22.2
"Genesee","Under.Eighteen",22.1
"Greene","Under.Eighteen",19.3
"Hamilton","Under.Eighteen",16.4
"Herkimer","Under.Eighteen",22.2
"Jefferson","Under.Eighteen",25.5
"Kings","Under.Eighteen",23.7
"Lewis","Under.Eighteen",24.7
"Livingston","Under.Eighteen",20.2
"Madison","Under.Eighteen",21.8
"Monroe","Under.Eighteen",22.7
"Montgomery","Under.Eighteen",23.5
"Nassau","Under.Eighteen",23.3
"New York","Under.Eighteen",14.8
"Niagara","Under.Eighteen",21.5
"Oneida","Under.Eighteen",21.9
"Onondaga","Under.Eighteen",23
"Ontario","Under.Eighteen",22.5
"Orange","Under.Eighteen",27.2
"Orleans","Under.Eighteen",22.2
"Oswego","Under.Eighteen",23.1
"Otsego","Under.Eighteen",18.7
"Putnam","Under.Eighteen",23.7
"Queens","Under.Eighteen",20.7
"Rensselaer","Under.Eighteen",21.3
"Richmond","Under.Eighteen",23.3
"Rockland","Under.Eighteen",28.1
"St. Lawrence","Under.Eighteen",21.3
"Saratoga","Under.Eighteen",22.7
"Schenectady","Under.Eighteen",22.9
"Schoharie","Under.Eighteen",19.9
"Schuyler","Under.Eighteen",21.2
"Seneca","Under.Eighteen",21.3
"Steuben","Under.Eighteen",23.4
"Suffolk","Under.Eighteen",24
"Sullivan","Under.Eighteen",22.7
"Tioga","Under.Eighteen",23.4
"Tompkins","Under.Eighteen",16.4
"Ulster","Under.Eighteen",20.2
"Warren","Under.Eighteen",20.6
"Washington","Under.Eighteen",21.1
"Wayne","Under.Eighteen",23.8
"Westchester","Under.Eighteen",24
"Wyoming","Under.Eighteen",20.6
"Yates","Under.Eighteen",24.5
"Albany","Vacant.Housing",7.1
"Allegany","Vacant.Housing",6.7
"Bronx","Vacant.Housing",5.3
"Broome","Vacant.Housing",7.2
"Cattaraugus","Vacant.Housing",6.8
"Cayuga","Vacant.Housing",5.9
"Chautauqua","Vacant.Housing",7.6
"Chemung","Vacant.Housing",6.6
"Chenango","Vacant.Housing",6.8
"Clinton","Vacant.Housing",5.7
"Columbia","Vacant.Housing",7.1
"Cortland","Vacant.Housing",5.5
"Delaware","Vacant.Housing",6.5
"Dutchess","Vacant.Housing",6
"Erie","Vacant.Housing",8
"Essex","Vacant.Housing",6.6
"Franklin","Vacant.Housing",7.1
"Fulton","Vacant.Housing",7.4
"Genesee","Vacant.Housing",6.1
"Greene","Vacant.Housing",8.9
"Hamilton","Vacant.Housing",2.9
"Herkimer","Vacant.Housing",7.1
"Jefferson","Vacant.Housing",6.4
"Kings","Vacant.Housing",8
"Lewis","Vacant.Housing",5.2
"Livingston","Vacant.Housing",5.2
"Madison","Vacant.Housing",5.8
"Monroe","Vacant.Housing",5.8
"Montgomery","Vacant.Housing",10.7
"Nassau","Vacant.Housing",3.4
"New York","Vacant.Housing",6.5
"Niagara","Vacant.Housing",7.5
"Oneida","Vacant.Housing",7.4
"Onondaga","Vacant.Housing",6
"Ontario","Vacant.Housing",5.3
"Orange","Vacant.Housing",6.3
"Orleans","Vacant.Housing",6.1
"Oswego","Vacant.Housing",6.3
"Otsego","Vacant.Housing",8.2
"Putnam","Vacant.Housing",4.6
"Queens","Vacant.Housing",5.9
"Rensselaer","Vacant.Housing",7.4
"Richmond","Vacant.Housing",5.9
"Rockland","Vacant.Housing",4
"St. Lawrence","Vacant.Housing",5.7
"Saratoga","Vacant.Housing",4.9
"Schenectady","Vacant.Housing",7.2
"Schoharie","Vacant.Housing",6.5
"Schuyler","Vacant.Housing",6.3
"Seneca","Vacant.Housing",6.6
"Steuben","Vacant.Housing",6.4
"Suffolk","Vacant.Housing",4.1
"Sullivan","Vacant.Housing",9.5
"Tioga","Vacant.Housing",5.8
"Tompkins","Vacant.Housing",4.9
"Ulster","Vacant.Housing",6.8
"Warren","Vacant.Housing",5.5
"Washington","Vacant.Housing",6.3
"Wayne","Vacant.Housing",6
"Westchester","Vacant.Housing",5.5
"Wyoming","Vacant.Housing",6.1
"Yates","Vacant.Housing",5.4
"Albany","Median.Age",38.5
"Allegany","Median.Age",37.8
"Bronx","Median.Age",32.8
"Broome","Median.Age",40.2
"Cattaraugus","Median.Age",40.7
"Cayuga","Median.Age",41.5
"Chautauqua","Median.Age",40.9
"Chemung","Median.Age",40.9
"Chenango","Median.Age",42.9
"Clinton","Median.Age",39.1
"Columbia","Median.Age",45.3
"Cortland","Median.Age",35.8
"Delaware","Median.Age",45.4
"Dutchess","Median.Age",40.2
"Erie","Median.Age",40.4
"Essex","Median.Age",44.5
"Franklin","Median.Age",39.3
"Fulton","Median.Age",41.8
"Genesee","Median.Age",41.5
"Greene","Median.Age",44
"Hamilton","Median.Age",51.3
"Herkimer","Median.Age",42.1
"Jefferson","Median.Age",32.6
"Kings","Median.Age",34.1
"Lewis","Median.Age",40.2
"Livingston","Median.Age",39.8
"Madison","Median.Age",39.5
"Monroe","Median.Age",38.5
"Montgomery","Median.Age",40.8
"Nassau","Median.Age",41.1
"New York","Median.Age",36.4
"Niagara","Median.Age",41.9
"Oneida","Median.Age",40.8
"Onondaga","Median.Age",38.6
"Ontario","Median.Age",42.1
"Orange","Median.Age",36.6
"Orleans","Median.Age",41
"Oswego","Median.Age",38.5
"Otsego","Median.Age",40.9
"Putnam","Median.Age",41.9
"Queens","Median.Age",37.2
"Rensselaer","Median.Age",39.2
"Richmond","Median.Age",38.4
"Rockland","Median.Age",36.7
"St. Lawrence","Median.Age",37.5
"Saratoga","Median.Age",40.9
"Schenectady","Median.Age",39.8
"Schoharie","Median.Age",42.5
"Schuyler","Median.Age",44.2
"Seneca","Median.Age",41
"Steuben","Median.Age",41.4
"Suffolk","Median.Age",39.8
"Sullivan","Median.Age",41.7
"Tioga","Median.Age",42.5
"Tompkins","Median.Age",29.8
"Ulster","Median.Age",42
"Warren","Median.Age",44.1
"Washington","Median.Age",41.7
"Wayne","Median.Age",41.6
"Westchester","Median.Age",40
"Wyoming","Median.Age",40.9
"Yates","Median.Age",40.7
