"","x","y","Crime"
"163",-77.0384877091579,38.9122332918659,"THEFT"
"164",-76.9769560372733,38.8972294454439,"THEFT"
"165",-76.9809543970347,38.9038513087108,"BURGLARY/ROBBERY"
"166",-77.013678478179,38.8713858653086,"OTHER"
"167",-76.9542521878517,38.8881693474438,"BURGLARY/ROBBERY"
"168",-76.9309774463462,38.8795368866083,"THEFT"
"169",-77.0379704523374,38.9256359618223,"BURGLARY/ROBBERY"
"170",-77.0353573890388,38.9241072591288,"BURGLARY/ROBBERY"
"171",-76.9822312106498,38.8691512300227,"THEFT"
"172",-76.9639162091838,38.8554992535715,"BURGLARY/ROBBERY"
"173",-77.0225976973421,38.9440908370309,"BURGLARY/ROBBERY"
"174",-77.0270724307733,38.9719073950256,"OTHER"
"175",-77.0698523693845,38.9501977827029,"THEFT"
"176",-77.0698443227796,38.9526997456583,"THEFT"
"177",-77.023969547437,38.9096464634417,"THEFT"
"178",-77.0364439665546,38.9391052505246,"THEFT"
"179",-76.9742034627815,38.922037846888,"THEFT"
"180",-76.9594845298291,38.8689113346901,"THEFT"
"181",-77.0308591451836,38.9224239775389,"THEFT"
"182",-76.9897683456458,38.9428584383171,"THEFT"
"183",-77.0327305534988,38.9295130132379,"THEFT"
"184",-77.0005758535259,38.831109958046,"THEFT"
"185",-76.9931501205792,38.9222116515,"THEFT"
"186",-77.0146692883798,38.9263907913645,"THEFT"
"187",-76.9708779125772,38.9410123427689,"THEFT"
"188",-77.0726223220803,38.9514122120672,"THEFT"
"189",-76.9708779125772,38.9410123427689,"THEFT"
"190",-76.9717596756871,38.8614109401191,"BURGLARY/ROBBERY"
"191",-76.929085613483,38.8928951854146,"THEFT"
"192",-76.9708345250206,38.8979127130916,"THEFT"
"193",-77.0327345815095,38.9382870989997,"BURGLARY/ROBBERY"
"194",-77.032073423893,38.9813467525907,"THEFT"
"195",-77.017200188837,38.9005185035909,"THEFT"
"196",-77.0219248799829,38.8943289671424,"THEFT"
"197",-77.0374870891454,38.9169990265767,"THEFT"
"198",-77.0218314170611,38.9279300945834,"THEFT"
"199",-76.9238295471667,38.9034406711831,"THEFT"
"200",-77.023969533077,38.9085739300116,"THEFT"
"201",-77.0189318281497,38.9056443493526,"THEFT"
"202",-77.0250052802365,38.9017962803963,"THEFT"
"203",-77.0083921944474,38.8971953833928,"THEFT"
"204",-77.0194242778236,38.8973291953838,"THEFT"
"205",-76.9795857649564,38.9326146711861,"THEFT"
"206",-77.0209228893866,38.8973379449511,"THEFT"
"207",-77.0855292867559,38.9590334859299,"THEFT"
"208",-77.0852995777749,38.9599074551124,"THEFT"
"209",-77.0308016524484,38.8961106203871,"THEFT"
"210",-77.0319616332377,38.9122352592629,"THEFT"
"211",-76.9818456138017,38.8796887454437,"THEFT"
"212",-77.0184836532536,38.9152829863263,"THEFT"
"213",-76.9942672161152,38.9407147728218,"BURGLARY/ROBBERY"
"214",-77.0416730026842,38.9037432403139,"THEFT"
"215",-76.9251308174507,38.8938656217748,"BURGLARY/ROBBERY"
"216",-77.0425580791727,38.9126012221222,"THEFT"
