"Date","Volume","Adj.Close","Stock"
2014-08-07,-16396100,-51.52,"Difference"
2014-08-06,-13924000,-52.02,"Difference"
2014-08-05,-29666600,-51.84,"Difference"
2014-08-04,-5680600,-52.02,"Difference"
2014-08-01,-17340700,-53.06,"Difference"
2014-07-31,-25305500,-52.24,"Difference"
2014-07-30,-1088600,-54.35,"Difference"
2014-07-29,-15379900,-54.27,"Difference"
2014-07-28,-25633800,-54.83,"Difference"
2014-07-25,-16731300,-52.97,"Difference"
2014-07-24,-15003700,-52.43,"Difference"
2014-07-23,-40555100,-52.12,"Difference"
2014-07-22,-12101200,-49.7,"Difference"
2014-07-21,-1474600,-48.92,"Difference"
2014-07-18,-6580500,-49.55,"Difference"
2014-07-17,24882300,-48.38,"Difference"
2014-07-16,9816000,-50.5,"Difference"
2014-07-15,-16729200,-52.66,"Difference"
2014-07-14,-20928900,-54.09,"Difference"
2014-07-11,-9935000,-52.92,"Difference"
2014-07-10,-17831300,-53.14,"Difference"
2014-07-09,-17990100,-53.51,"Difference"
2014-07-08,-34003800,-53.36,"Difference"
2014-07-07,-34515600,-53.77,"Difference"
2014-07-03,-6922500,-52.02,"Difference"
2014-07-02,-8256900,-51.38,"Difference"
2014-07-01,-11306000,-51.45,"Difference"
2014-06-30,-18783500,-51.03,"Difference"
2014-06-27,10611000,-49.53,"Difference"
2014-06-26,-9024600,-48.99,"Difference"
2014-06-25,-16819900,-48.14,"Difference"
2014-06-24,-12526900,-48.34,"Difference"
2014-06-23,-24950100,-48.65,"Difference"
2014-06-20,-53133100,-49.04,"Difference"
2014-06-19,-15699800,-50.16,"Difference"
2014-06-18,-6417000,-50.33,"Difference"
2014-06-17,-7207400,-50.2,"Difference"
2014-06-16,-11355700,-50.5,"Difference"
2014-06-13,-28215000,-49.86,"Difference"
2014-06-12,-24930100,-51.5,"Difference"
2014-06-11,-27641000,-52.79,"Difference"
2014-06-10,-47659300,-52.93,"Difference"
2014-06-09,-60395800,-52.23,"Difference"
2014-06-06,-63424100,-50.55,"Difference"
2014-06-05,-44086200,-51.07,"Difference"
2014-06-04,-60661500,-51.59,"Difference"
2014-06-03,-55108400,-50.59,"Difference"
2014-06-02,-73833400,-48.82,"Difference"
2014-05-30,-106437600,-49.29,"Difference"
2014-05-29,-74230300,-50.23,"Difference"
2014-05-28,-53158900,-48.94,"Difference"
2014-05-27,-61055900,-48.99,"Difference"
2014-05-23,-40032400,-47.43,"Difference"
2014-05-22,-29988200,-46.47,"Difference"
2014-05-21,-26816200,-46.09,"Difference"
2014-05-20,-37388100,-46.53,"Difference"
2014-05-19,-54901400,-46.44,"Difference"
2014-05-16,-39197000,-45.36,"Difference"
2014-05-15,-19918300,-44.35,"Difference"
2014-05-14,-22782300,-44.43,"Difference"
2014-05-13,-12929500,-44.23,"Difference"
